hotel,1043-04-14 20:10:13,guy,6-6
wish,0211-12-05 17:27:56,level,4-6
play,0784-11-12 07:31:20,election,6-7
international,1226-09-04 00:54:32,way,2-3
firm,0636-05-25 21:05:22,provide,7-7
model,0674-07-29 20:28:08,table,8-2
light,0201-07-11 04:47:22,early,2-5
section,1164-11-03 14:23:37,trip,6-3
make,0492-12-06 20:28:33,quite,4-5
suggest,1375-06-01 23:36:16,beyond,4-8
firm,1849-12-03 05:27:37,number,4-2
small,0817-07-16 01:10:01,break,7-7
almost,2000-06-20 18:14:37,interview,8-5
how,1794-09-03 23:12:11,major,8-2
American,1420-02-18 08:57:50,pick,1-4
miss,1676-11-06 12:54:53,project,3-3
travel,0233-03-27 16:55:22,carry,6-4
baby,0043-05-04 16:50:05,animal,4-5
cover,0407-12-16 09:21:12,father,1-6
model,0125-11-30 07:04:57,style,7-9
themselves,0171-02-28 16:46:55,me,7-8
evening,0276-11-23 06:27:02,Mr,4-2
expert,1933-09-17 15:27:38,remain,5-3
among,0918-11-09 03:29:31,of,8-3
management,0552-07-25 03:41:23,read,3-8
eight,0279-04-04 19:49:42,party,5-3
job,0894-03-06 20:46:49,throw,5-9
song,1427-07-09 04:26:36,song,6-5
man,0087-04-20 14:51:52,these,4-7
maintain,0988-09-01 05:58:10,also,8-9
science,1366-06-02 21:06:16,need,3-2
information,0213-12-05 15:55:46,seven,5-3
nor,0977-04-21 16:15:36,book,5-9
meet,0330-06-05 04:44:59,traditional,2-5
our,1161-11-17 11:44:34,art,4-1
lot,0655-12-21 14:43:35,attorney,1-2
interesting,1605-03-14 04:13:30,site,7-1
produce,0595-11-09 16:54:42,system,8-2
democratic,0165-01-04 02:01:31,figure,5-2
main,0484-03-14 08:57:26,relate,2-8
leave,1625-07-22 19:05:12,week,3-2
child,0648-10-03 03:05:42,you,7-2
rich,1457-06-23 21:23:33,defense,4-2
check,0463-08-11 05:34:11,sister,2-4
song,0716-01-14 09:56:13,writer,8-2
friend,0968-07-14 09:22:19,take,1-9
any,1993-01-05 19:02:57,decide,8-6
industry,0665-09-04 23:12:46,use,9-9
sense,1848-07-25 01:27:22,wrong,4-7
member,1262-05-05 13:41:40,truth,3-2
firm,1993-06-24 07:58:57,material,8-3
main,0850-02-07 02:44:51,authority,8-6
shake,0967-05-23 15:43:02,drug,5-7
say,1483-08-05 20:39:23,shoulder,7-8
benefit,1262-03-20 08:35:25,change,3-1
tend,0164-05-18 07:37:12,across,2-5
leave,0961-06-22 14:30:46,popular,6-6
area,0313-06-03 14:59:09,practice,4-5
garden,0898-01-08 20:51:26,tell,2-7
write,0063-08-02 07:54:37,pressure,8-1
property,1630-07-24 13:02:15,best,4-7
wait,1472-08-27 15:48:11,picture,6-3
close,1390-05-07 11:02:58,international,5-1
be,1530-12-05 00:05:24,may,2-9
art,1194-12-04 02:02:39,really,1-9
growth,0966-09-23 07:17:19,or,7-1
over,1347-03-13 13:04:07,school,6-6
here,1866-11-12 10:13:33,particular,4-7
explain,0272-12-22 01:29:56,step,4-8
world,1302-11-05 16:49:07,performance,4-9
message,1921-11-10 14:30:19,along,8-8
son,0671-06-27 14:50:20,modern,9-9
dream,1838-06-25 04:18:06,should,8-6
policy,0543-04-08 08:22:06,same,3-7
land,1382-03-05 11:37:15,defense,3-8
ahead,0811-01-06 19:11:18,from,9-1
tax,0981-04-22 05:00:58,character,1-8
environmental,1861-04-08 17:15:55,despite,7-3
reach,0881-09-23 12:56:39,general,6-2
experience,1907-02-22 07:44:39,site,2-9
read,1502-06-30 02:56:24,forward,1-7
image,1396-10-01 19:17:50,serious,2-3
cultural,0983-07-07 17:54:47,instead,8-1
parent,1836-01-17 07:30:34,push,2-6
tax,1678-11-25 03:36:12,tax,2-8
thousand,1742-11-01 23:00:58,than,7-8
which,1014-08-16 12:07:48,usually,1-6
police,0164-04-16 09:36:41,life,1-3
bar,1603-05-13 07:17:12,do,6-4
note,0026-10-05 22:11:09,some,2-4
very,1441-09-19 22:01:47,first,4-8
performance,0189-09-17 04:29:19,magazine,6-7
agree,1876-08-23 12:51:24,water,1-5
medical,1062-12-09 06:17:01,serve,4-1
property,0992-08-23 07:06:44,society,1-5
away,1877-06-02 07:47:09,spend,8-3
group,0913-01-04 23:25:59,deep,9-9
agent,1903-11-08 10:39:06,western,5-8
along,0776-04-21 16:13:46,Republican,7-6
tree,1499-05-07 23:54:47,plan,2-8
