east,0525-10-11 16:49:51,3,7,9,3,6,6,4,8
person,0113-02-04 11:05:43,6,6,6,5,1,4,3,6
place,1416-03-31 08:47:17,2,9,3,5,6,4,2,8
wear,1305-08-29 09:46:01,8,7,2,1,7,5,1,4
occur,1759-04-19 01:11:46,5,7,4,4,3,4,1,3
knowledge,0184-01-02 11:48:22,8,5,9,9,5,6,9,5
myself,1662-05-14 14:19:04,9,9,2,2,4,4,7,1
our,1752-03-15 09:26:08,4,2,7,9,4,1,3,5
despite,0745-04-11 01:25:38,5,1,7,9,9,4,4,9
thousand,1229-06-19 23:36:05,8,4,8,1,1,7,3,6
role,0395-03-15 07:44:18,2,2,1,6,9,8,7,8
environmental,0652-08-22 05:31:42,6,2,4,3,3,7,9,4
against,0049-09-14 11:01:22,3,6,5,3,1,7,6,8
phone,0047-01-06 00:06:40,1,8,2,2,1,4,8,8
call,0315-09-19 13:13:38,3,2,5,3,9,2,9,2
religious,0320-08-09 12:32:18,9,6,8,3,9,3,6,6
then,0326-05-17 11:00:22,3,7,4,3,9,9,7,9
school,1614-10-06 05:37:51,3,8,9,4,6,5,1,9
later,1673-05-08 21:56:20,8,6,5,9,9,4,3,9
prevent,0175-09-28 01:28:54,7,4,7,5,1,1,8,1
computer,1766-03-06 16:40:06,2,3,6,3,3,5,8,4
development,1537-01-26 01:34:25,5,8,7,4,8,7,3,7
group,1991-02-13 09:38:59,5,2,3,4,7,9,9,4
once,1857-04-03 00:59:20,2,8,4,3,4,1,1,4
five,0852-08-27 00:18:34,2,7,4,1,7,9,6,6
college,1921-11-10 14:30:19,5,6,8,6,4,4,4,8
technology,0960-03-13 07:42:23,9,8,4,3,7,4,8,1
out,0029-04-07 19:26:04,1,7,8,2,4,6,2,1
hot,1797-08-09 07:29:16,4,9,8,9,4,3,4,8
value,1364-11-28 22:33:15,3,7,5,8,3,4,2,5
Mrs,0864-04-15 11:04:09,8,5,2,9,2,8,3,8
site,0987-02-19 13:21:55,9,1,1,5,6,7,6,5
may,0453-02-18 03:59:51,1,9,7,9,7,2,5,1
forget,1530-12-05 00:05:24,1,4,9,6,5,3,4,7
commercial,1932-03-31 20:56:52,6,1,3,4,2,6,9,1
instead,0292-06-06 22:09:59,1,8,8,2,7,5,7,9
first,1091-02-12 00:11:57,1,3,4,2,2,9,2,5
set,1918-02-08 22:18:00,2,7,4,6,7,7,8,4
hold,1428-04-04 22:53:36,9,1,4,6,1,5,3,7
only,0174-12-18 13:07:51,2,7,3,5,1,4,5,5
live,1026-02-06 00:13:31,5,3,4,3,9,1,2,7
team,0414-10-13 00:53:04,7,3,3,8,9,2,9,9
than,0641-03-06 04:35:48,2,1,1,1,4,5,3,8
friend,0926-04-21 14:18:07,8,9,5,5,3,5,7,6
own,1050-03-29 11:29:24,4,3,6,4,1,5,8,3
table,1141-07-06 20:21:59,3,1,9,9,8,6,9,8
scene,1354-12-20 13:16:50,8,8,8,1,2,4,6,9
everything,1306-05-24 12:15:25,8,2,1,5,7,8,1,8
side,0049-09-14 11:01:22,1,6,1,8,9,7,2,5
same,0631-01-21 19:16:06,2,2,2,8,1,3,9,3
parent,1928-05-22 18:08:11,3,6,1,4,3,8,1,1
season,1995-03-27 12:08:33,8,9,4,7,9,6,3,2
stage,1789-02-08 03:45:12,4,5,1,2,8,1,1,7
could,1169-10-10 05:05:16,5,9,3,8,8,4,8,5
respond,0335-11-24 02:16:03,6,6,7,7,6,4,2,3
police,1738-07-10 19:49:41,2,9,8,8,4,6,5,3
when,1757-10-21 00:22:45,1,4,3,4,7,3,8,1
such,0767-05-25 14:49:26,9,6,9,5,7,1,7,8
something,1054-07-19 05:41:50,7,6,5,3,4,4,8,3
about,1221-07-18 19:26:05,8,6,4,3,2,6,2,2
