across,us,F
realize,environment,F
party,new,F
approach,difficult,B
stage,water,M
force,board,B
easy,light,B
religious,head,F
change,water,B
nice,smile,M
place,our,B
development,dark,M
offer,daughter,B
ball,spend,B
kind,south,F
while,camera,M
say,rich,M
seat,tell,F
suggest,red,M
early,relationship,B
network,give,B
agree,change,B
force,conference,M
scientist,author,F
cup,reason,M
many,seat,F
watch,personal,F
teach,manage,B
plant,the,F
in,seat,M
understand,front,M
western,represent,F
machine,government,M
during,cup,B
everyone,likely,F
certainly,her,B
our,high,M
international,medical,B
tonight,trial,B
suggest,send,B
history,group,F
month,lose,B
blood,community,F
finally,lay,F
guy,company,F
when,will,M
scientist,this,M
enter,direction,F
mean,term,M
four,international,B
world,fish,B
reflect,when,B
treat,knowledge,B
certain,drop,M
guy,pull,F
moment,before,F
least,probably,B
say,fund,B
kind,put,F
statement,building,F
every,bar,F
popular,six,M
loss,hundred,M
police,maybe,M
early,all,M
most,table,M
guy,south,M
bill,artist,M
wear,generation,F
question,operation,F
sport,than,B
address,her,B
scientist,official,M
administration,either,B
parent,simply,M
sometimes,hope,M
bad,team,B
hundred,environmental,B
although,address,F
eight,identify,B
common,home,B
debate,machine,B
quite,mouth,F
someone,book,F
draw,scientist,F
culture,white,M
another,lay,F
computer,again,F
store,mouth,M
threat,area,M
seven,amount,B
mother,during,F
herself,energy,B
design,least,F
number,expect,F
participant,show,F
loss,last,F
economic,another,F
stay,charge,M
analysis,lay,B
executive,single,B
newspaper,issue,M
whose,card,M
strategy,approach,F
community,subject,B
great,ok,M
people,discussion,B
fact,look,M
condition,know,B
page,ago,M
prepare,specific,M
maybe,should,B
international,spend,M
adult,stand,M
house,money,B
without,management,F
value,dark,F
group,market,B
produce,save,B
wish,to,M
glass,finally,F
son,partner,M
similar,senior,B
he,together,B
keep,director,M
ability,risk,B
entire,recent,B
response,stock,M
risk,party,M
control,moment,B
until,certainly,M
rate,oil,M
take,fear,F
happy,the,F
suffer,hair,B
another,woman,M
more,blue,F
strong,left,M
go,think,F
trip,per,F
themselves,be,B
alone,memory,M
few,black,M
already,exactly,M
significant,team,F
father,gun,F
all,test,F
miss,picture,F
various,south,M
south,project,F
old,item,M
sense,certain,M
learn,difference,B
significant,stage,M
number,most,M
well,spring,M
with,campaign,B
item,continue,F
difficult,hit,M
good,service,F
sit,hear,F
blue,old,M
enjoy,relate,M
wonder,source,F
hundred,discussion,M
exist,want,M
final,stop,B
else,again,B
would,reality,F
career,option,F
stock,miss,B
newspaper,man,M
west,but,M
news,husband,B
form,give,M
above,pattern,M
Democrat,agree,F
bag,art,F
able,area,F
line,message,B
land,vote,M
child,idea,B
huge,stand,M
fall,should,F
third,wonder,F
occur,accept,M
although,add,B
sing,bank,B
inside,more,B
ahead,company,M
water,media,F
four,could,M
have,modern,F
available,budget,F
within,series,F
central,various,F
attack,sit,M
behind,rest,F
nearly,which,F
sound,again,B
